        hour            z         tsoi
       5.500      -68.750       15.006
       5.500      -71.250       14.994
       5.500      -73.750       14.982
       5.500      -76.250       14.971
       5.500      -78.750       14.961
       5.500      -81.250       14.952
       5.500      -83.750       14.945
       5.500      -86.250       14.938
       5.500      -88.750       14.932
       5.500      -91.250       14.927
       5.500      -93.750       14.922
       5.500      -96.250       14.918
       5.500      -98.750       14.915
       6.000        0.000       12.500
       6.000       -1.250       12.379
       6.000       -3.750       12.307
       6.000       -6.250       12.361
       6.000       -8.750       12.505
       6.000      -11.250       12.708
       6.000      -13.750       12.947
       6.000      -16.250       13.202
       6.000      -18.750       13.458
       6.000      -21.250       13.705
       6.000      -23.750       13.936
       6.000      -26.250       14.145
       6.000      -28.750       14.330
       6.000      -31.250       14.490
       6.000      -33.750       14.625
       6.000      -36.250       14.737
       6.000      -38.750       14.827
       6.000      -41.250       14.898
       6.000      -43.750       14.951
       6.000      -46.250       14.990
       6.000      -48.750       15.017
       6.000      -51.250       15.033
       6.000      -53.750       15.042
       6.000      -56.250       15.044
       6.000      -58.750       15.041
       6.000      -61.250       15.035
       6.000      -63.750       15.026
       6.000      -66.250       15.016
       6.000      -68.750       15.005
       6.000      -71.250       14.994
       6.000      -73.750       14.983
       6.000      -76.250       14.973
       6.000      -78.750       14.964
       6.000      -81.250       14.955
       6.000      -83.750       14.947
       6.000      -86.250       14.940
       6.000      -88.750       14.934
       6.000      -91.250       14.928
       6.000      -93.750       14.924
       6.000      -96.250       14.920
       6.000      -98.750       14.916
       6.500        0.000       13.087
       6.500       -1.250       12.898
       6.500       -3.750       12.707
       6.500       -6.250       12.658
       6.500       -8.750       12.715
       6.500      -11.250       12.846
       6.500      -13.750       13.027
       6.500      -16.250       13.237
       6.500      -18.750       13.458
       6.500      -21.250       13.680
       6.500      -23.750       13.893
       6.500      -26.250       14.091
       6.500      -28.750       14.271
       6.500      -31.250       14.429
       6.500      -33.750       14.565
       6.500      -36.250       14.680
       6.500      -38.750       14.775
       6.500      -41.250       14.851
       6.500      -43.750       14.910
       6.500      -46.250       14.955
       6.500      -48.750       14.988
       6.500      -51.250       15.009
       6.500      -53.750       15.022
       6.500      -56.250       15.029
       6.500      -58.750       15.030
       6.500      -61.250       15.027
