        hour        infil
     0.77917     11.53211
     0.78056     11.55065
     0.78194     11.56920
     0.78333     11.58774
     0.78472     11.60628
     0.78611     11.62482
     0.78750     11.64337
     0.78889     11.66191
     0.79028     11.68045
     0.79167     11.69899
     0.79306     11.71753
     0.79444     11.73608
     0.79583     11.75462
     0.79722     11.77316
     0.79861     11.79170
     0.80000     11.81024
