           year          carbon        nitrogen
        0.74800        60.07344         1.80134
        0.75074        59.99217         1.80231
        0.75348        59.91114         1.80328
        0.75622        59.83035         1.80424
        0.75896        59.74978         1.80521
        0.76170        59.66945         1.80617
        0.76444        59.58934         1.80713
        0.76718        59.50946         1.80809
        0.76992        59.42981         1.80905
        0.77266        59.35038         1.81001
        0.77540        59.27118         1.81096
        0.77814        59.19219         1.81192
        0.78088        59.11344         1.81287
        0.78362        59.03490         1.81382
        0.78636        58.95658         1.81477
        0.78910        58.87848         1.81572
        0.79184        58.80059         1.81667
        0.79458        58.72293         1.81762
        0.79732        58.64548         1.81856
        0.80006        58.56824         1.81951
        0.80280        58.49122         1.82045
        0.80554        58.41440         1.82139
        0.80828        58.33780         1.82233
        0.81102        58.26141         1.82327
        0.81376        58.18523         1.82420
        0.81650        58.10925         1.82514
        0.81924        58.03349         1.82607
        0.82197        57.95792         1.82701
        0.82471        57.88257         1.82794
        0.82745        57.80741         1.82887
        0.83019        57.73247         1.82980
        0.83293        57.65772         1.83072
        0.83567        57.58317         1.83165
        0.83841        57.50882         1.83257
        0.84115        57.43468         1.83349
        0.84389        57.36073         1.83441
        0.84663        57.28698         1.83533
        0.84937        57.21342         1.83625
        0.85211        57.14006         1.83716
        0.85485        57.06690         1.83808
        0.85759        56.99392         1.83899
        0.86033        56.92115         1.83990
        0.86307        56.84856         1.84081
        0.86581        56.77616         1.84172
        0.86855        56.70396         1.84263
        0.87129        56.63194         1.84353
        0.87403        56.56011         1.84444
        0.87677        56.48847         1.84534
        0.87951        56.41702         1.84624
        0.88225        56.34575         1.84713
        0.88499        56.27467         1.84803
        0.88773        56.20377         1.84893
        0.89047        56.13306         1.84982
        0.89321        56.06253         1.85071
        0.89595        55.99218         1.85160
        0.89869        55.92201         1.85249
        0.90143        55.85202         1.85338
        0.90417        55.78221         1.85426
        0.90691        55.71258         1.85514
        0.90965        55.64313         1.85603
        0.91239        55.57385         1.85690
        0.91513        55.50475         1.85778
        0.91787        55.43583         1.85866
        0.92061        55.36708         1.85953
        0.92334        55.29851         1.86041
        0.92608        55.23011         1.86128
        0.92882        55.16188         1.86215
        0.93156        55.09383         1.86301
        0.93430        55.02594         1.86388
        0.93704        54.95823         1.86474
        0.93978        54.89068         1.86560
        0.94252        54.82331         1.86646
        0.94526        54.75610         1.86732
        0.94800        54.68907         1.86818
        0.95074        54.62219         1.86903
        0.95348        54.55549         1.86988
        0.95622        54.48895         1.87073
        0.95896        54.42258         1.87158
        0.96170        54.35637         1.87243
        0.96444        54.29032         1.87327
        0.96718        54.22444         1.87412
        0.96992        54.15872         1.87496
        0.97266        54.09316         1.87580
        0.97540        54.02776         1.87664
        0.97814        53.96252         1.87747
        0.98088        53.89745         1.87830
        0.98362        53.83253         1.87914
        0.98636        53.76777         1.87996
        0.98910        53.70317         1.88079
        0.99184        53.63872         1.88162
        0.99458        53.57444         1.88244
        0.99732        53.51031         1.88326
        1.00006        53.44633         1.88408
        1.00280        53.38251         1.88490
        1.00554        53.31884         1.88572
        1.00828        53.25533         1.88653
        1.01102        53.19197         1.88734
        1.01376        53.12876         1.88815
        1.01650        53.06571         1.88896
        1.01924        53.00280         1.88976
        1.02197        52.94005         1.89057
        1.02471        52.87745         1.89137
        1.02745        52.81500         1.89217
        1.03019        52.75269         1.89296
        1.03293        52.69054         1.89376
        1.03567        52.62853         1.89455
        1.03841        52.56667         1.89534
        1.04115        52.50496         1.89613
        1.04389        52.44339         1.89692
        1.04663        52.38197         1.89770
        1.04937        52.32069         1.89849
        1.05211        52.25956         1.89927
        1.05485        52.19858         1.90005
        1.05759        52.13774         1.90082
        1.06033        52.07704         1.90160
        1.06307        52.01648         1.90237
        1.06581        51.95607         1.90314
        1.06855        51.89579         1.90391
        1.07129        51.83566         1.90467
        1.07403        51.77567         1.90544
        1.07677        51.71582         1.90620
        1.07951        51.65611         1.90696
        1.08225        51.59654         1.90771
        1.08499        51.53710         1.90847
        1.08773        51.47781         1.90922
        1.09047        51.41865         1.90997
        1.09321        51.35963         1.91072
        1.09595        51.30075         1.91147
        1.09869        51.24200         1.91221
        1.10143        51.18339         1.91295
        1.10417        51.12491         1.91369
        1.10691        51.06657         1.91443
        1.10965        51.00836         1.91517
        1.11239        50.95029         1.91590
        1.11513        50.89235         1.91663
        1.11787        50.83454         1.91736
        1.12061        50.77687         1.91808
        1.12334        50.71933         1.91881
        1.12608        50.66192         1.91953
        1.12882        50.60464         1.92025
        1.13156        50.54749         1.92097
        1.13430        50.49047         1.92168
        1.13704        50.43358         1.92240
        1.13978        50.37682         1.92311
        1.14252        50.32019         1.92382
        1.14526        50.26369         1.92452
        1.14800        50.20732         1.92523
        1.15074        50.15107         1.92593
        1.15348        50.09495         1.92663
        1.15622        50.03896         1.92733
        1.15896        49.98310         1.92802
        1.16170        49.92736         1.92871
        1.16444        49.87174         1.92940
        1.16718        49.81625         1.93009
        1.16992        49.76089         1.93078
        1.17266        49.70565         1.93146
        1.17540        49.65054         1.93215
        1.17814        49.59555         1.93282
        1.18088        49.54068         1.93350
        1.18362        49.48593         1.93418
        1.18636        49.43131         1.93485
        1.18910        49.37681         1.93552
        1.19184        49.32243         1.93619
        1.19458        49.26817         1.93685
        1.19732        49.21403         1.93752
        1.20006        49.16001         1.93818
        1.20280        49.10611         1.93884
        1.20554        49.05234         1.93949
        1.20828        48.99868         1.94015
        1.21102        48.94514         1.94080
        1.21376        48.89172         1.94145
        1.21650        48.83841         1.94210
        1.21924        48.78523         1.94274
        1.22197        48.73216         1.94339
        1.22471        48.67921         1.94403
        1.22745        48.62638         1.94466
        1.23019        48.57366         1.94530
        1.23293        48.52106         1.94593
        1.23567        48.46857         1.94657
        1.23841        48.41620         1.94720
        1.24115        48.36394         1.94782
        1.24389        48.31180         1.94845
        1.24663        48.25978         1.94907
        1.24937        48.20786         1.94969
        1.25211        48.15606         1.95031
        1.25485        48.10437         1.95092
        1.25759        48.05280         1.95154
        1.26033        48.00134         1.95215
        1.26307        47.94999         1.95276
        1.26581        47.89875         1.95336
        1.26855        47.84762         1.95397
        1.27129        47.79661         1.95457
        1.27403        47.74570         1.95517
        1.27677        47.69491         1.95576
        1.27951        47.64422         1.95636
        1.28225        47.59365         1.95695
        1.28499        47.54318         1.95754
        1.28773        47.49283         1.95813
        1.29047        47.44258         1.95872
        1.29321        47.39244         1.95930
        1.29595        47.34241         1.95988
        1.29869        47.29249         1.96046
        1.30143        47.24267         1.96104
        1.30417        47.19296         1.96161
        1.30691        47.14336         1.96218
        1.30965        47.09386         1.96275
        1.31239        47.04447         1.96332
        1.31513        46.99519         1.96388
        1.31787        46.94601         1.96445
        1.32061        46.89694         1.96501
        1.32334        46.84797         1.96557
        1.32608        46.79911         1.96612
        1.32882        46.75035         1.96668
        1.33156        46.70170         1.96723
        1.33430        46.65315         1.96778
        1.33704        46.60470         1.96832
        1.33978        46.55635         1.96887
        1.34252        46.50811         1.96941
        1.34526        46.45997         1.96995
        1.34800        46.41194         1.97049
        1.35074        46.36400         1.97102
        1.35348        46.31617         1.97156
        1.35622        46.26844         1.97209
        1.35896        46.22080         1.97262
        1.36170        46.17327         1.97314
        1.36444        46.12584         1.97367
        1.36718        46.07852         1.97419
        1.36992        46.03129         1.97471
        1.37266        45.98416         1.97523
        1.37540        45.93712         1.97574
        1.37814        45.89019         1.97625
        1.38088        45.84336         1.97677
        1.38362        45.79663         1.97727
        1.38636        45.74999         1.97778
        1.38910        45.70345         1.97828
        1.39184        45.65701         1.97879
        1.39458        45.61067         1.97928
        1.39732        45.56442         1.97978
        1.40006        45.51827         1.98028
        1.40280        45.47222         1.98077
        1.40554        45.42626         1.98126
        1.40828        45.38040         1.98175
        1.41102        45.33464         1.98223
        1.41376        45.28897         1.98272
        1.41650        45.24339         1.98320
        1.41924        45.19791         1.98368
        1.42197        45.15253         1.98416
        1.42471        45.10724         1.98463
        1.42745        45.06204         1.98510
        1.43019        45.01694         1.98557
        1.43293        44.97193         1.98604
        1.43567        44.92701         1.98651
        1.43841        44.88219         1.98697
        1.44115        44.83746         1.98743
        1.44389        44.79283         1.98789
        1.44663        44.74828         1.98835
        1.44937        44.70383         1.98880
        1.45211        44.65947         1.98926
        1.45485        44.61520         1.98971
        1.45759        44.57102         1.99016
        1.46033        44.52693         1.99060
        1.46307        44.48294         1.99105
        1.46581        44.43903         1.99149
        1.46855        44.39522         1.99193
        1.47129        44.35149         1.99236
        1.47403        44.30786         1.99280
        1.47677        44.26431         1.99323
        1.47951        44.22086         1.99366
        1.48225        44.17749         1.99409
        1.48499        44.13421         1.99452
        1.48773        44.09102         1.99494
        1.49047        44.04792         1.99536
        1.49321        44.00491         1.99578
        1.49595        43.96198         1.99620
        1.49869        43.91914         1.99662
        1.50143        43.87639         1.99703
        1.50417        43.83373         1.99744
        1.50691        43.79115         1.99785
        1.50965        43.74866         1.99826
        1.51239        43.70626         1.99866
        1.51513        43.66394         1.99907
        1.51787        43.62171         1.99947
        1.52061        43.57957         1.99987
        1.52334        43.53751         2.00026
        1.52608        43.49553         2.00066
        1.52882        43.45365         2.00105
        1.53156        43.41184         2.00144
        1.53430        43.37012         2.00183
        1.53704        43.32849         2.00221
        1.53978        43.28694         2.00260
